target,text,processed_text
positive,"@sdministry Hey scott, Its Ashli from Shelby County, We met when Rick and Mick were in town. How you been? It been awhile ",hey scott its ashli from shelby county met when rick mick were town how you been been awhile
negative,@temptationdice why did my family decide to have a family gathering?  i see why you hate them. -.-,why did family decide have family gathering see why you hate them
positive,@kerryjor Happy Birthday!  Enjoy the cougar years - roar! ,happy birthday enjoy cougar years roar
negative,I work 9-6 today with bitch boss ,work today with bitch boss
negative,  DD has pinkeye...not fun.,has pinkeyenot fun
positive,3 little birds pitch by my door step singing sweet songs of melodies pure &amp; true sayin dis is my message 2 you: dont worry about a thing ,little birds pitch door step singing sweet songs melodies pure amp true sayin dis message you dont worry about thing
positive,Church of the Highlands @ 11:30 in the Bryant Conference Center! BE THERE!   ,church highlands bryant conference center there
positive,Off to london biggin hill ,off london biggin hill
negative,definitely just failed my exam ,definitely failed exam
positive,@Burlesquetron oh sorry I didn't see this tweet further down sorry. unhappy DD = 4 champers 4 me + looking 4 hair dye in back of cupboard ,sorry didnt see tweet further down sorry unhappy champers looking hair dye back cupboard
positive,@laurie_pringle I mention it in the blog post. It's in Vancouver. ,mention blog post its vancouver
positive,I am soooo happy!!! ,soooo happy
positive,@Itxi_Itx @th3maw  This is a great conversation.  What else might you do with your sheets during the act of love?  eh?  eh?  ,great conversation what else might you with your sheets during act love
negative,mark cubans doin handsprings right now- the &quot;punks and thugs&quot; are sinking.. but he's not looking forward to paying dirk's child support. ,mark cubans doin handsprings right now quotpunks thugsquot are sinking but hes not looking forward paying dirks child support
positive,@lovelyberries haha you can cuddle with me anytime ,haha you can cuddle with anytime
positive,had a lovely birthday.  http://plurk.com/p/xedq0,had lovely birthday
negative,@judez_xo ugly kids there?  woahh where am i then. ,ugly kids there woahh where then
positive,@canadianfamily The best thing about my Mother's Day was my son. And the card my husband got me 'from' our 5.5 week old son. ,best thing about mothers day was son card husband got from our week old son
positive,Just got off the  â  Misery loves company..... Haha,got off misery loves company haha
negative,ugh sdre isnt coming here  lame. today can suck my dick.,ugh sdre isnt coming here lame today can suck dick
positive,@andyclemmensen tv on mute cause its boring but then ipod with speakers on timer  now thats how its done.,mute cause its boring but then ipod with speakers timer now thats how its done
negative,TWO More weeks and its back to work. ,two more weeks its back work
negative,is healthy breakfast then back to geography revision ,healthy breakfast then back geography revision
positive,off to sleep. GOOD NIGHT WORLD  hope it'll not rain tomorrow.,off sleep good night world hope itll not rain tomorrow
negative,Kylie's being a bad girl today. ,kylies being bad girl today
positive,@LaYdeeDeliSh he's definately a strong lil guy! ,hes definately strong lil guy
negative,I watched UP! This time I cried  It's really sad and hilarious ... That movie totally rocks!,watched time cried its really sad hilarious that movie totally rocks
positive,just booked my driving test ,booked driving test
negative,i've been working for more than 24 hours now ,ive been working more than hours now
positive,"@ddlovato I wish I was a celeb like you, Miley Cyrus, Selena Gomez, Taylor Swift, and all those pretty girls out there! ",wish was celeb like you miley cyrus selena gomez taylor swift all those pretty girls out there
negative,I can't believe the last survivor of the Titanic died...that's really sad! ,cant believe last survivor titanic diedthats really sad
negative,Starting to wonder if my future landlord is crazy or prejudice against americans.. this may not end well ,starting wonder future landlord crazy prejudice against americans may not end well
positive,@kiniaq and the reasons are never wrong my dear... they are absolutely lovely  wow,reasons are never wrong dear they are absolutely lovely wow
positive,@lexia well done on all your reporting.  Haven't been vocal but have enjoyed and appreciated your work. Cheers lady. ,well done all your reporting havent been vocal but have enjoyed appreciated your work cheers lady
positive,I would love the 85mm 1.2 .. but would settle for the 85mm 1.8. I'd also love a 1Dsmark3 for it to sit on ,would love but would settle also love dsmark sit
positive,@AngelIVXXX very good price ,very good price
positive,@MrRathbone You have many friends here who will walk with you through the dark and the light. Smile ,you have many friends here who will walk with you through dark light smile
positive,soo hungry! hot dogs with all the fixings? sounds yummy ! ,soo hungry hot dogs with all fixings sounds yummy
negative,is having a bad day - email not working properly and looks like the 10km run is off for me ,having bad day email not working properly looks like run off
positive,@officialnjonas you speak my name in chat? please?I am a big fan your...follow me? ,you speak name chat pleasei big fan yourfollow
positive,"The Tonight Show w/ Conan was AWESOME!!! I missed that tall, pale, red-headed man! ",tonight show conan was awesome missed that tall pale redheaded man
positive,"@Hail_Mary_Jane: never date anyone who's on twitter, then you can't tweet about how whack they are.&lt;----sooooooooo true ",never date anyone whos twitter then you cant tweet about how whack they areltsooooooooo true
positive,I need someone to talk to!  Who can that be? ,need someone talk who can that
negative,@BrianMcnugget still your old joker kinda self...im glad...i kinda miss it ,still your old joker kinda selfim gladi kinda miss
positive,un vot pe blogoree pls: http://bit.ly/ueUb6   Multumesc! ,vot blogoree pls multumesc
negative,"Dear baby, I can't wait until your teething days are over. ",dear baby cant wait until your teething days are over
negative,"@ninasplayground LOL, I didn't know it was on  OF COURSE if watch that dumb bitches show ;-) like a train wreck... Can't stop watching ;)",lol didnt know was course watch that dumb bitches show like train wreck cant stop watching
positive,@imPLastic ,
positive,"BlackBerry troubles all over.. fortunately enough I don't have one! My HTC Touch works fine, for almost 2 years! ",blackberry troubles all over fortunately enough dont have one htc touch works fine almost years
positive,@MeganBull how do you know how much your twitter profile is worth?? haha...or was that a joke? ,how you know how much your twitter profile worth hahaor was that joke
positive,http://mobypicture.com/?yxykxt - I knew it from the start. It's a two year old t-shirt by now. Always makes me pleased to see though. ,knew from start its two year old tshirt now always makes pleased see though
negative,I had Wendy's before this. That was a bad choice   http://twitpic.com/6vlkp,had wendys before that was bad choice
positive,@cjm55 Thanks!  ,thanks
negative,"why do people not just try to understand instead of getting pissed off  when someone needs you, its cause they love you...",why people not try understand instead getting pissed off when someone needs you its cause they love you
negative,@Castiel_ yeah. totally. ,yeah totally
positive,@Lumiel Aren't you sweet? ,arent you sweet
negative,CDC Vaccine Advisor Pockets $29 Million Promoting Vaccines -  http://is.gd/M7Q8 - MORE ELITIST SCUM VACCINATION PROFITEERING - Sorry ,cdc vaccine advisor pockets million promoting vaccines more elitist scum vaccination profiteering sorry
positive,@MissChriis i don't know how to celebrate yet. lol but i'm very excited about it. ,dont know how celebrate yet lol but very excited about
negative,@windsorj Poor thing  Hope you feel brighter soon x,poor thing hope you feel brighter soon
negative,Ah. The perfect summer day was ruined by the rain. Too good to be true.  but its still hot as hell. I feel sticky and gross. Long day. Ha,perfect summer day was ruined rain too good true but its still hot hell feel sticky gross long day
