target,text
positive,"@Destini41 Have a safe trip, Desti, and have lots of fun!!! Hope you can tweet us a lot  And give @crystalchappell 4700 kisses from us"
positive,@ryanstar http://twitpic.com/6ub7v - Great view 
positive,mmm taco doritos=heaven in my mouth 
negative,@MandyyJirouxx morning already 
positive,"MTV Movie Awards yesterday: congrats Robert, Kristen, Miley and the Twilight's makers.  &lt;3"
negative,http://twitpic.com/8cwzd - the swimming pool of our hotel... that makes me dream of summer... in Vienna we have so far no summer 
positive,"Plans for today: Lunch with my darling Leila, getting my hair cut... Ok, that's the good part "
positive,@cocababy202 hahaha it washed all the sick off of me. 
negative,@SasaLoves I'm here princess!  Need to try to eat something before I drink. Still having waves of nausea - I should have napped 
positive,Issue of Echelon?..Are they behind some Botnets also? ..you can watch...http://tinyurl.com/c8dns8  ah..but dont think like that 
negative,"@IsadoraR hooray for your english being done , but we are screwed for everything else "
negative,No 12-hour coma today. I had a nightmare that shook me awake. 
positive,@SenseiRAM We missed you 
positive,"@jonasbrothers dear nick jonas, please teach me how to play the glockenspiel. that is just about the coolest instrument name ever. "
negative,3 hours till SD. longest trip ever. Never again. Ate a salad n pasta at dinner n couldn't even finish my pasta. 
positive,#goodsex get the itus 
negative,Watching ''The Cleaner'' &amp; taking care of wifey. She's sick. 
positive,Drinking coffee 
negative,Good morning everyone in this twitter world! Bangun jam segini mulu  http://myloc.me/23fl
positive,"Atlantis &amp; Hubble current location now is above Indonesia. Wave your hand guys, wave!  #fb"
negative,Another loser: i lost the game  http://tinyurl.com/cfz2lj
negative,stuck at home in Temecula for the night  someone come save me pleaseeeeee!
positive,@rhyanoutrageous thank you 
positive,@MeiNg I'll settle for The Last Lecture by Randy Pausch instead. He is inspirational. 
negative,going to bed.  i wish the hubby had more time off 
negative,David started basic Wednesday and they took his phone for who knows how long... missing his voice and his kisses 
negative,@Curiosafmmb  Dave yeah I prefer David actually!!. Yes he was Bill from Kill Bill. From what Ive hearded he had hung himslef ... 
negative,@d33pak ya...but m missing my &quot;beeryani&quot; on the weekends 
negative,so bored !  i want the Sims to hurry up and download
negative,@persef I would gladly have him back in exchange for my sandwich though 
positive,"@Boyislost Ok im gona go  but I dont want to be close with anyone atm, sry if it takes a min to reply im at work so i have to hide twitter"
negative,@aeroform Naptime for me. Can't keep my eyes open. 
positive,"fed up with Windows, so Ubuntu Netbook Remix Edition is now on Kaylee "
negative,I will never like getting up at 5 am  dumb work schedule.
negative,@DVDeMm Want my Amazon box to arrive.  Probably Royal Mail playing football with it!
negative,"@dougiedaydream well yes but with a trilby, red wayfarers and a vintage casio watch in tow. i thought i looked good. "
positive,@KellyOlexa it is like boxers under pants....It is to be FREE or not to BE FREE!!!! 
negative,@GoCheeksGo i tried to vote but my phone sucks and wouldn't let me 
negative,@mileycyrus voting has closed 
positive,@SashaKane - That's a great mood to be in. Do you mind if I borrow it for this week?! 
negative,@TheRealAD aw poor baby 
negative,Photo: suneoke: saddens me that sheâs taken  *tear* lol http://tumblr.com/xgo1z1owl
positive,Then - Brad Paisley 
negative,giving up on having a job this summer. Managers continue to fail to call me. Looks like its going to be a long broke year. 
negative,Rumours OS 3 being released when Apple employees get into work (9am). Therefore 5pm uk time 
negative,uni. home work 
negative,enjoying my week off...now comes the busy part... 
positive,"@BecM49 i am, thanks (: i'll put you in mine "
positive,"Checking in  Good morning twitter fam! I'm in Miami, up bright and early, ready to hit the gym! xo"
positive,@NickHexum Please play Daisy Cutter+Jackpot+the rest of Uplifter in Atlanta. That'd be a pretty good 4th of July. 
negative,"Bank card fraud victim  $1,600 spent in 24hs. $400 at Celebrities, $400 at Richards on Richards and $800 at Safeway."
positive,has to go. bye  http://plurk.com/p/z2e6x
positive,taking a bath..and then go to the chruch!! 
negative,"not good, not good. "
positive,"@mr_billiam did you get your yabbies and your yobbos mixed up, or something?  "
positive,@peanut2468 basically i was going 2 go 2 ur casa as soon as i got my license but u wernt home so... 
negative,cold and flu tablets = EPIC FAIL. they dont even work 
negative,@TheWayIRoll I don't know where is she... but I miss her  ahah goodnight honey! n.n
negative,tired  and beleives early mornings should be illegal!
positive,"@dontforgetchaos aaah, sorry, you know i love you really!! hee hee  ;)"
positive,@FredroC1469 most of the time 
negative,"Oven has been on since 3:15... that's almost 3 hours!  3 loaves (1 cinnamon bread) &amp; 2.5 batches of rolls are baked. scones, not made yet "
negative,"@Em_Love yes, and FOH played at my friends school  how unfair?"
negative,man... I'll miss the JRuby on Google App Engine talk at #railsconf 
negative,friday night and no 1 to go party wit im a loner in my own country 
positive,"@Stella_Holman no, orkut? "
negative,"oh no, i need new work shoes...i broke this one! "
negative,@paulpuddifoot your pic/avatar is gone 
negative,"Ahh, I'm stuck... For my birthday I can either get a new phone (SMSNG Omnia) or I can get a Sky box in my room... HELP! Idk what to doooo "
positive,@jmaxxz sssshhhhh....I run both at work 
negative,Praying! I live like an hour away from where it happened. 
negative,at work  then back to my baby's house 
positive,going to 3 Horseshoes in Radnage for lunch with friends. Should be good! 
negative,don't want to do my maths exam tomozz  iv left school for good  why make us come back and do them 
positive,@KatiaDominos lmao yeah it is xD &amp; omg i put joe dancing to single ladies on my ipod!!! 
negative,"F to the Y to the I: I'm now home, but my stupid phone is still @ the office, so don't bother calling or texting me tonight. "
negative,@HURM the way i have been feeling the last few days and nights... i think i have conficker... it tried playing opossum... it didnt work 
negative,I am ill  And that when it's such good weather! Oh my english is so bad 
negative,out of smokes and broke as a mothafuckerrr 
negative,Sad that @mimigee will no longer be a fixture when i go visit NYC   Good luck at school!
positive,About to Hang out with Sadey 
negative,wtf happened 2 the sun?? its all alex's fault (quote &quot;Wot wud u do if it started pissin it down?&quot;) rain sucks 
positive,"at home, restingg "
negative,U still waiting for still update! I've been sitting like a mad man all day! 
negative,We can has OS 3 update?.......no we hasn't.   (shakes head and mopes away)
negative,need rest but need Michelle 
negative,@tpphotography bonkers isn't it? Pocket calculator + photocell somehow = Â£Â£Â£Â£'s I've been looking for a reasonably priced one but no joy 
negative,@PollyPocket3 do you hate us ? 
negative,my car is dead........ what am i to do  Poor bug
positive,"Sorry, that last was for @popculturezoo Doctor who geek speak "
positive,@backstreetboys Happy b-day Backstreeets!!!!Hope you go for many many moree!!Thank you for ur amazing music 
negative,@whataboutadam My sis didnt get hers either 
negative,Morning to all! Hope its a nicer day where you are compaired to here. It's going to rain all day and the next 2 days. 
positive,"@dannygokey Awww, Danny. Sorry I'm late!  Who wouldn't accept the offer to teach you uploading?"
positive,@RoseZag She's writing a book! It's good so far 
positive,@mark_hadfield That's the other solution.  But it then stops genuine people from following you spontaneously based on your tweets.
positive,@siamusic the land of replies is indeed a labourius place  at least you know you're loved!  xo
negative,Wondering if I should take K to the release of Transformers 2 tomorrow. I hate crowds 
negative,"Only problem was lack of sauce The sauce is awesome, but not enough "
negative,"@divestoclimb It lets me through, but then gives a &quot;Sorry, no exact matches were found, but other tickets may still be available.&quot; error "
positive,@Lifehigh83 I requested you. 
positive,Having a well-deserved Guinness 
negative,I can NOT believe my baby girl is 3!! I know I'm  lame b/c I'm actually sad about this!!I don't want her to grow up boo hoo 
negative,"@giloi2009 Yeah I got excited by seeing that changelog, then was bitterly disappointed there's no push notifications for Facebook "
negative,Everybody's laughing at my neon day-glow argyle socks. 
positive,@bowwow614 In your option i have to take tha nice guy 
positive,sunny morning 
positive,"waiting for my dad to pick me up. we're gonna watch a movie  btw, new photos SOON! "
negative,hates smart-arse rookie cops on power trips who pull you over and issue $189 fines 
positive,@WSOPlive we appreciate the unscheduled coverage. keep it up and give the crew a raise 
positive,"@sharathpatali right on ! Just bought this new computer, will be mig easier to get code done "
negative,i am so bored!!  well lets see i am writing my spanish paper and guess wht! schools over  FML!
positive,woot! i have 77 points on my subway card! 75 points is a free foot long!  going to get it now!
positive,@kimgoss i been saying that the past 2 weeks that i miss playing spades and drinkin chillin.. the good old days.. let me know baby 
negative,No mini vacations for the moment  Starting a week with different / many things to do. Thank you God
negative,i have no idea how i'm going to fix things with me and landon! i want things back to normal but i don't know how and if that is possible 
positive,@Chinkerfly they never said anything interesting and i always had to wade through dozens of their tweets to get to people i cared about 
negative, well maybe next time my dreams with come true
positive,"BPHS Orchestra spring concert tomorrow night!  7:00 pm @ the PAC! Freefreefree! B there or B square! As Reuben says, &quot;It's instupituous!&quot;"
positive,@regalaffair hey you are up early 
positive,@BevClement I don't think we talk much about Banks these days - not quite as respected as they once were 
